Part ID,Diameter A,Diameter B,Diameter C,Base Angle F,Base Angle BR,Base Angle BL,Taper F,Taper BR,Taper BL,Taper F,Taper BR,Taper BL,Visual Check 
0,38,42,42,70,70,70,162,162,162,40.5,40.5,40.5,y
50,38.217,42.119,42.127,69.809,69.97,69.897,162.72,162.946,162.633,40.708,40.279,40.449,yes
51,38.231,42.161,42.287,70.447,70.217,70.268,163.372,163.573,163.407,40.945,40.915,40.862,y
53,38.222,42.155,42.186,70.668,70.702,70.373,163.174,163.401,163.311,40.954,41.164,41.016,y
54,38.22,42.138,42.171,70.667,70.669,70.474,162.783,163.174,163.308,40.962,40.811,40.975,Y
55,38.232,42.153,42.116,70.197,70.616,70.23,163.128,163.13,163.502,41.114,40.886,41,Y
56,38.214,42.142,42.086,70.291,70.435,70.553,163.495,163.116,163.076,41.052,41.076,40.975,Y
57,38.216,42.137,42.136,70.744,70.729,70.378,163.213,163.14,162.813,41.084,40.877,41.007,Yes
58,38.214,42.125,42.216,70.535,70.245,70.264,163.349,162.729,163.122,40.766,40.875,40.665,yes
59,38.197,42.114,42.271,69.916,69.783,70.137,162.991,162.658,162.739,40.559,40.496,40.401,Y
59,38.197,42.114,42.271,69.916,69.783,70.137,162.991,162.658,162.739,40.559,40.496,40.401,Y
61,38.229,42.148,42.364,70.327,69.947,69.954,163.283,162.55,163.171,40.832,40.596,40.558,Y
62,38.222,42.145,42.274,70.597,70.364,70.337,163.148,162.714,162.993,40.761,40.711,40.964,Ok
63,38.21,42.129,42.251,70.251,70.434,70.353,162.981,163.29,163.247,40.751,40.717,40.647,ok
64,38.212,42.109,42.158,70.557,70.776,70.644,162.749,163.043,163.265,40.979,40.712,40.827,Okay
65,38.198,42.085,42.16,70.249,70.615,70.239,163.15,163.143,163.156,40.727,40.744,40.843,Ok
66,38.257,42.101,42.09,70.127,70.193,70.137,163.249,163.405,162.759,40.711,40.844,40.683,ok
67,38.241,42.091,42.101,70.24,70.132,69.659,163.05,163.161,162.856,40.761,40.667,40.389,y
68,38.208,42.079,42.147,69.729,69.711,69.65,162.975,162.95,162.796,40.248,40.117,40.293,y
69,38.231,42.132,42.194,70.162,69.686,69.774,163.257,163.295,163.354,40.65,40.629,40.743,y
70,38.21,42.129,42.286,69.905,69.492,69.837,162.861,163.348,163.29,40.279,40.551,40.397,n
71,38.204,42.122,42.272,69.537,69.549,69.901,162.973,163.328,163.008,40.411,40.535,40.269,Yes
72,38.22,42.127,42.256,69.795,69.642,69.678,162.966,162.539,163.009,40.481,40.375,40.384,yes
73,38.228,42.122,42.135,70.048,69.702,69.91,163.058,163.27,162.846,40.671,40.387,40.554,Y
74,38.229,42.108,42.037,70.158,70.139,null,162.992,163.204,163.398,40.666,40.787,40.501,N
75,38.214,42.13,41.99,70.081,69.68,69.868,163.152,163.104,162.621,40.68,40.66,40.578,y
76,38.229,42.118,41.992,69.978,70.167,69.801,163.035,162.998,163.287,40.661,40.351,40.632,y
77,38.215,42.119,null,69.939,69.98,69.806,162.687,162.868,162.952,40.513,40.475,40.437,Y
78,38.21,42.117,42.071,69.541,69.268,69.485,162.798,162.947,163.242,40.608,40.236,40.558,Y
79,38.191,42.086,42.191,69.647,69.779,69.738,162.907,162.916,162.65,40.318,40.392,40.218,Y
80,38.18,42.089,42.182,70.093,69.167,70.1,162.951,162.278,162.616,40.477,40.076,40.222,Yes
81,38.195,42.091,42.165,69.656,69.504,69.916,162.941,162.6,163.048,40.313,40.258,40.373,yes
82,38.226,42.113,42.143,69.78,70.208,69.824,162.946,163.03,162.476,40.196,40.102,40.438,Y
83,38.241,42.097,42.016,70.123,69.938,69.977,162.968,162.634,163.022,40.534,40.181,40.501,Y
84,38.232,42.098,41.991,69.916,69.648,69.581,163.091,162.9,163.007,40.447,40.455,40.33,Ok
85,38.239,42.083,41.888,70.126,69.601,70.124,163.072,162.796,162.835,40.542,40.195,40.463,ok
86,38.237,42.083,41.875,69.734,69.758,70.472,162.726,162.575,163.183,40.371,40.312,40.624,Okay
87,38.23,42.031,41.942,70.004,69.897,69.825,162.166,162.988,163.203,40.41,40.559,40.455,Ok
88,38.225,42.058,42.026,69.862,69.62,69.694,162.883,163.06,162.482,40.422,40.085,40.175,ok
89,38.246,42.164,42.235,69.892,69.793,70.269,163.386,163.099,163.239,40.727,40.941,40.611,y
90,38.211,42.055,42.176,69.89,69.559,69.554,162.269,162.891,162.842,40.15,40.325,40.126,y
91,38.218,42.051,42.181,69.622,69.957,69.688,162.704,163.112,162.544,40.192,40.245,40.313,y
93,38.245,42.052,42.1,69.477,69.797,70.103,162.677,162.811,162.844,40.424,40.233,40.543,n
94,38.228,42.009,41.991,69.886,70.052,70.124,162.962,163.246,163.043,40.439,40.64,40.428,Yes
95,38.291,42.107,42.07,69.65,70.273,69.821,163.688,163.649,163.585,41.117,41.007,41.115,yes
96,38.22,42.163,42.296,70.022,70.15,70.073,163.283,163.27,163.487,40.868,40.856,40.88,Y
97,38.259,42.167,42.203,69.592,69.248,69.822,163.073,163.04,163.501,40.575,40.591,40.701,N
98,38.218,42.156,42.363,70.085,70.455,70.088,163.066,162.949,163.108,40.799,40.732,40.655,Yes
100,38.29,42.115,42.179,70.053,70.312,70.19,163.521,163.438,163.53,40.829,40.845,40.928,Y
