ID,thread.length,thread.pitch,head.length,diameter
B195,2,1.81,15.5788,22.91
B198,25.4,2.12,12.94,"3/4"""
B206,25.4,2.12,12.954,19.05
B207,12.7,0.91,3.7808,5.56
B196,1.5,1.34,8.9488,13.16
B199,,1.81,7.5548,11.11
B201,25.4,1.59,8.636,12.7
B211,50.8,3.18,17.272,25.4
B213,50.8,2.12,9.7172,14.29
B202,1.5,1.59,8.636,"1/2"""
B203,2,1.06,3.2368,4.76
B210,12.7,2.31,11.8728,17.46
B204,12.7,1.81,17.9792,26.44
B209,6.35,1.59,9.7172,14.29
b205,1.5,2.12,9.7172,14.29
B200,2,3.18,17.272,25.4
B205,1.5,2.12,9.7172,14.29
B212,19.05,0.91,6.6164,9.73
B208,1.5,1.81,17.9792,26.44
B216,12.7,1.59,6.4804,9.53
B214,6.35,1.34,11.3288,16.66
B215,25.4,1.34,11.3288,16.66
B197,38.1,0.79,3.2368,4.76
