ID,thread.length,thread.pitch,head.length,diameter
B232,50,2.5,11.25,18
B233,30,1,3.75,6
B255,15,0.7,2.5,4
B218,60,0.75,3.75,6
B219,20,3,15,24
B220,50,1.5,11.25,18
B289,40,1,3.75,6
B221,40,0.5,1.875,3
B222,30,1.5,6.25,10
B223,25,1.5,8.75,14
B224,30,1.5,6.25,10
B225,10,0.25,1.25,2
B226,15,0.6,2.1875,3.5
B227,15,2.5,13.75,22
B234,35,2,11.25,18
B235,30,2,8.75,14
B236,20,1.25,5,8
B237,35,2.5,13.75,22
B238,30,0.4,1.25,2
B239,15,1.5,13.75,22
B240,10,2,18.75,30
B241,35,2,18.75,30
B242,10,,15,24
B243,40,1.5,13.75,22
B244,25,0.5,2.5,4
B245,15,0.7,2.5,4
B246,20,1,5,8
B247,15,2,13.75,22
B248,50,1.5,11.25,18
B249,35,2,16.875,27
B250,10,2,15,24
B251,60,0.5,1.875,3
B252,30,2.5,11.25,18
B253,15,1,5,8
B256,35,2,12.5,20
B257,30,1.25,6.25,10
B258,40,1,6.25,10
B259,40,0.5,3.125,5
B254,50,2,18.75,30
B260,30,0.35,1.875,3
B263,60,1.5,10,16
B264,10,0.75,5,8
B219,20,3,15,24
B265,40,1.25,6.25,10
B266,60,2.5,11.25,18
B267,20,1.5,6.25,10
B268,30,3,16.875,27
B269,40,2,15,24
B270,25,0.35,1.5625,2.5
B271,25,1,5,8
B272,50,2.5,13.75,22
B273,50,1.25,5,8
B274,50,1.5,13.75,22
B281,10,2,10,16
B282,25,1,5,8
B283,50,0.25,1.25,2
B284,25,2.5,13.75,22
B285,30,2.5,11.25,18
B286,35,3,16.875,27
B287,30,2.5,12.5,20
B288,50,1.5,11.25,18
B289,40,1,3.75,6
B290,50,0.35,1.875,3
B291,30,0.25,1.25,2
B292,15,1.5,7.5,12
B293,35,2,11.25,18
B294,20,1,3.75,6
B295,15,1.5,13.75,22
B296,25,0.8,3.125,5
B279,60,1.5,8.75,14
B261,10,1.5,13.75,22
B262,60,2.5,11.25,18
B217,20,1,6.25,10
B228,15,0.45,1.5625,2.5
B229,40,2.5,11.25,18
B230,25,0.5,2.5,h
B231,35,1.25,6.25,10
B275,60,2,15,24
B276,15,0.6,2.1875,3.5
B277,40,0.8,3.125,5
B278,25,2,8.75,14
B280,25,1.5,10,16
B237,35,2.5,13.75,22
