ID,thread.length,thread.width,grip.length,head.length,variety
B195,5.1,3.5,1.4,0.2,socket_screw
B196,4.9,3,1.4,0.2,socket_screw
B197,4.7,3.2,1.3,0.2,socket_screw
B198,4.6,3.1,1.5,0.2,socket_screw
B199,5,3.6,1.4,0.2,socket_screw
B200,5.4,3.9,1.7,0.4,socket_screw
B201,4.6,3.4,1.4,0.3,socket_screw
B202,5,3.4,1.5,0.2,socket_screw
B203,4.4,2.9,1.4,0.2,socket_screw
B204,4.9,3.1,1.5,0.1,socket_screw
B205,5.4,3.7,1.5,0.2,socket_screw
B206,4.8,3.4,1.6,0.2,socket_screw
B207,4.8,3,1.4,0.1,socket_screw
B208,4.3,3,1.1,0.1,socket_screw
B209,5.8,4,1.2,0.2,socket_screw
B210,5.7,4.4,1.5,0.4,socket_screw
B211,5.4,3.9,1.3,0.4,socket_screw
B212,5.1,3.5,1.4,0.3,socket_screw
B213,5.7,3.8,1.7,0.3,socket_screw
B214,5.1,3.8,1.5,0.3,socket_screw
B215,5.4,3.4,1.7,0.2,socket_screw
B216,5.1,3.7,1.5,0.4,socket_screw
B217,4.6,3.6,1,0.2,socket_screw
B218,5.1,3.3,1.7,0.5,socket_screw
B219,4.8,3.4,1.9,0.2,socket_screw
B220,5,3,1.6,0.2,socket_screw
B221,5,3.4,1.6,0.4,socket_screw
B222,5.2,3.5,1.5,0.2,socket_screw
B223,5.2,3.4,1.4,0.2,socket_screw
B224,4.7,3.2,1.6,0.2,socket_screw
B225,4.8,3.1,1.6,0.2,socket_screw
B226,5.4,3.4,1.5,0.4,socket_screw
B227,5.2,4.1,1.5,0.1,socket_screw
B228,5.5,4.2,1.4,0.2,socket_screw
B229,4.9,3.1,1.5,0.2,socket_screw
B230,5,3.2,1.2,0.2,socket_screw
B231,5.5,3.5,1.3,0.2,socket_screw
B232,4.9,3.6,1.4,0.1,socket_screw
B233,4.4,3,1.3,0.2,socket_screw
B234,5.1,3.4,1.5,0.2,socket_screw
B235,5,3.5,1.3,0.3,socket_screw
B236,4.5,2.3,1.3,0.3,socket_screw
B237,4.4,3.2,1.3,0.2,socket_screw
B238,5,3.5,1.6,0.6,socket_screw
B239,5.1,3.8,1.9,0.4,socket_screw
B240,4.8,3,1.4,0.3,socket_screw
B241,5.1,3.8,1.6,0.2,socket_screw
B242,4.6,3.2,1.4,0.2,socket_screw
B243,5.3,3.7,1.5,0.2,socket_screw
B244,5,3.3,1.4,0.2,socket_screw
B245,7,3.2,4.7,1.4,wood_screw
B246,6.4,3.2,4.5,1.5,wood_screw
B247,6.9,3.1,4.9,1.5,wood_screw
B248,5.5,2.3,4,1.3,wood_screw
B249,6.5,2.8,4.6,1.5,wood_screw
B250,5.7,2.8,4.5,1.3,wood_screw
B251,6.3,3.3,4.7,1.6,wood_screw
B252,4.9,2.4,3.3,1,wood_screw
B253,6.6,2.9,4.6,1.3,wood_screw
B254,5.2,2.7,3.9,1.4,wood_screw
B255,5,2,3.5,1,wood_screw
B256,5.9,3,4.2,1.5,wood_screw
B257,6,2.2,4,1,wood_screw
B258,6.1,2.9,4.7,1.4,wood_screw
B259,5.6,2.9,3.6,1.3,wood_screw
B260,6.7,3.1,4.4,1.4,wood_screw
B261,5.6,3,4.5,1.5,wood_screw
B262,5.8,2.7,4.1,1,wood_screw
B263,6.2,2.2,4.5,1.5,wood_screw
B264,5.6,2.5,3.9,1.1,wood_screw
B265,5.9,3.2,4.8,1.8,wood_screw
B266,6.1,2.8,4,1.3,wood_screw
B267,6.3,2.5,4.9,1.5,wood_screw
B268,6.1,2.8,4.7,1.2,wood_screw
B269,6.4,2.9,4.3,1.3,wood_screw
B270,6.6,3,4.4,1.4,wood_screw
B271,6.8,2.8,4.8,1.4,wood_screw
B272,6.7,3,5,1.7,wood_screw
B273,6,2.9,4.5,1.5,wood_screw
B274,5.7,2.6,3.5,1,wood_screw
B275,5.5,2.4,3.8,1.1,wood_screw
B276,5.5,2.4,3.7,1,wood_screw
B277,5.8,2.7,3.9,1.2,wood_screw
B278,6,2.7,5.1,1.6,wood_screw
B279,5.4,3,4.5,1.5,wood_screw
B280,6,3.4,4.5,1.6,wood_screw
B281,6.7,3.1,4.7,1.5,wood_screw
B282,6.3,2.3,4.4,1.3,wood_screw
B283,5.6,3,4.1,1.3,wood_screw
B284,5.5,2.5,4,1.3,wood_screw
B285,5.5,2.6,4.4,1.2,wood_screw
B286,6.1,3,4.6,1.4,wood_screw
B287,5.8,2.6,4,1.2,wood_screw
B288,5,2.3,3.3,1,wood_screw
B289,5.6,2.7,4.2,1.3,wood_screw
B290,5.7,3,4.2,1.2,wood_screw
B291,5.7,2.9,4.2,1.3,wood_screw
B292,6.2,2.9,4.3,1.3,wood_screw
B293,5.1,2.5,3,1.1,wood_screw
B294,5.7,2.8,4.1,1.3,wood_screw
B295,6.3,3.3,6,2.5,machine_screw
B296,5.8,2.7,5.1,1.9,machine_screw
B297,7.1,3,5.9,2.1,machine_screw
B298,6.3,2.9,5.6,1.8,machine_screw
B299,6.5,3,5.8,2.2,machine_screw
B300,7.6,3,6.6,2.1,machine_screw
B301,4.9,2.5,4.5,1.7,machine_screw
B302,7.3,2.9,6.3,1.8,machine_screw
B303,6.7,2.5,5.8,1.8,machine_screw
B304,7.2,3.6,6.1,2.5,machine_screw
B305,6.5,3.2,5.1,2,machine_screw
B306,6.4,2.7,5.3,1.9,machine_screw
B307,6.8,3,5.5,2.1,machine_screw
B308,5.7,2.5,5,2,machine_screw
B309,5.8,2.8,5.1,2.4,machine_screw
B310,6.4,3.2,5.3,2.3,machine_screw
B311,6.5,3,5.5,1.8,machine_screw
B312,7.7,3.8,6.7,2.2,machine_screw
B313,7.7,2.6,6.9,2.3,machine_screw
B314,6,2.2,5,1.5,machine_screw
B315,6.9,3.2,5.7,2.3,machine_screw
B316,5.6,2.8,4.9,2,machine_screw
B317,7.7,2.8,6.7,2,machine_screw
B318,6.3,2.7,4.9,1.8,machine_screw
B319,6.7,3.3,5.7,2.1,machine_screw
B320,7.2,3.2,6,1.8,machine_screw
B321,6.2,2.8,4.8,1.8,machine_screw
B322,6.1,3,4.9,1.8,machine_screw
B323,6.4,2.8,5.6,2.1,machine_screw
B324,7.2,3,5.8,1.6,machine_screw
B325,7.4,2.8,6.1,1.9,machine_screw
B326,7.9,3.8,6.4,2,machine_screw
B327,6.4,2.8,5.6,2.2,machine_screw
B328,6.3,2.8,5.1,1.5,machine_screw
B329,6.1,2.6,5.6,1.4,machine_screw
B330,7.7,3,6.1,2.3,machine_screw
B331,6.3,3.4,5.6,2.4,machine_screw
B332,6.4,3.1,5.5,1.8,machine_screw
B333,6,3,4.8,1.8,machine_screw
B334,6.9,3.1,5.4,2.1,machine_screw
B335,6.7,3.1,5.6,2.4,machine_screw
B336,6.9,3.1,5.1,2.3,machine_screw
B337,5.8,2.7,5.1,1.9,machine_screw
B338,6.8,3.2,5.9,2.3,machine_screw
B339,6.7,3.3,5.7,2.5,machine_screw
B340,6.7,3,5.2,2.3,machine_screw
B341,6.3,2.5,5,1.9,machine_screw
B342,6.5,3,5.2,2,machine_screw
B343,6.2,3.4,5.4,2.3,machine_screw
B344,5.9,3,5.1,1.8,machine_screw
